id,Judul Berita,Isi Berita,Kategori Berita,Judul_Bersih,Judul_Final,Judul_Baku,Judul_Stemmed,Judul_Tokenized
223,1 Oktober Hari Apa? Ini Penjelasan dan Ketentuan Liburnya,,Pendidikan,oktober penjelasan ketentuan liburnya,oktober penjelasan ketentuan liburnya,oktober penjelasan ketentuan liburnya,oktober jelas tentu libur,"['oktober', 'jelas', 'tentu', 'libur']"
224,"Beasiswa SEARCA 2026 Dibuka, Bisa Kuliah di Universitas Asia Tenggara Gratis!",,Pendidikan,beasiswa searca dibuka kuliah universitas asia tenggara gratis,beasiswa searca dibuka kuliah universitas asia tenggara gratis,beasiswa searca dibuka kuliah universitas asia tenggara gratis,beasiswa arca buka kuliah universitas asia tenggara gratis,"['beasiswa', 'arca', 'buka', 'kuliah', 'universitas', 'asia', 'tenggara', 'gratis']"
225,"Bangga, 8 Dosen Undip Masuk Daftar 2% Ilmuwan Terbaik Dunia!",,Pendidikan,bangga dosen undip masuk daftar ilmuwan terbaik dunia,bangga dosen undip masuk daftar ilmuwan terbaik dunia,bangga dosen undip masuk daftar ilmuwan terbaik dunia,bangga dosen undip masuk daftar ilmuwan baik dunia,"['bangga', 'dosen', 'undip', 'masuk', 'daftar', 'ilmuwan', 'baik', 'dunia']"
226,"Viral Maba Unsri Disuruh Cium Kening, Himpunan Dibekukan-15 Mahasiswa Diperiksa",,Pendidikan,viral maba unsri disuruh cium kening himpunan mahasiswa diperiksa,viral maba unsri disuruh cium kening himpunan mahasiswa diperiksa,viral maba unsri disuruh cium kening himpunan mahasiswa diperiksa,viral maba unsri suruh cium kening himpun mahasiswa periksa,"['viral', 'maba', 'unsri', 'suruh', 'cium', 'kening', 'himpun', 'mahasiswa', 'periksa']"
227,"15 Contoh Prompt Gemini AI Bahasa Indonesia, Ada untuk Edit Foto Wisuda!",,Pendidikan,contoh prompt gemini ai bahasa indonesia edit foto wisuda,contoh prompt gemini ai bahasa indonesia edit foto wisuda,contoh prompt gemini ai bahasa indonesia edit foto wisuda,contoh prompt gemini ai bahasa indonesia edit foto wisuda,"['contoh', 'prompt', 'gemini', 'ai', 'bahasa', 'indonesia', 'edit', 'foto', 'wisuda']"
228,"Prabowo Sebut Siap Kirimkan Puluhan Ribu Personel Pasukan Penjaga Perdamaian, Apa Itu?",,Pendidikan,prabowo kirimkan puluhan ribu personel pasukan penjaga perdamaian,prabowo kirimkan puluhan ribu personel pasukan penjaga perdamaian,prabowo kirimkan puluhan ribu personel pasukan penjaga perdamaian,prabowo kirim puluh ribu personel pasu jaga damai,"['prabowo', 'kirim', 'puluh', 'ribu', 'personel', 'pasu', 'jaga', 'damai']"
229,JPPI-FSGI Kritik MBG 28% Anggaran Pendidikan: Evaluasi hingga Realokasi Anggaran,,Pendidikan,kritik mbg anggaran pendidikan evaluasi realokasi anggaran,kritik mbg anggaran pendidikan evaluasi realokasi anggaran,kritik mbg anggaran pendidikan evaluasi realokasi anggaran,kritik mbg anggar didik evaluasi realokasi anggar,"['kritik', 'mbg', 'anggar', 'didik', 'evaluasi', 'realokasi', 'anggar']"
230,Apa Itu Quiet Covering? Fenomena di Kalangan Pekerja Gen-Z,,Pendidikan,quiet covering fenomena kalangan pekerja,quiet covering fenomena kalangan pekerja,quiet covering fenomena kalangan pekerja,quiet covering fenomena kalang kerja,"['quiet', 'covering', 'fenomena', 'kalang', 'kerja']"
231,"Mengintip Majunya Edukasi AI di India, Pelajar-Pekerja Wajib Pelajari",,Pendidikan,mengintip majunya edukasi ai india wajib pelajari,mengintip majunya edukasi ai india wajib pelajari,mengintip majunya edukasi ai india wajib pelajari,intip maju edukasi ai india wajib ajar,"['intip', 'maju', 'edukasi', 'ai', 'india', 'wajib', 'ajar']"
232,"Jadwal Pelantikan PPPK Paruh Waktu 2025, Siap-siap!",,Pendidikan,jadwal pelantikan pppk paruh,jadwal pelantikan pppk paruh,jadwal pelantikan pppk paruh,jadwal lantik pppk paruh,"['jadwal', 'lantik', 'pppk', 'paruh']"
233,"Akui 4.700 Porsi MBG Bermasalah, Kenapa BGN Tak Setop MBG Dulu?",,Pendidikan,akui porsi mbg bermasalah bgn setop mbg,akui porsi mbg bermasalah bgn setop mbg,akui porsi mbg bermasalah bgn setop mbg,aku porsi mbg masalah bgn setop mbg,"['aku', 'porsi', 'mbg', 'masalah', 'bgn', 'setop', 'mbg']"
234,Apakah Gelar Sarjana Masih Penting di Industri Kerja Saat Ini?,,Pendidikan,gelar sarjana industri kerja,gelar sarjana industri kerja,gelar sarjana industri kerja,gelar sarjana industri kerja,"['gelar', 'sarjana', 'industri', 'kerja']"
235,"PT Inka Buka Lowongan PKL untuk Siswa-Mahasiswa, Cek Syaratnya!",,Pendidikan,pt inka buka lowongan pkl cek syaratnya,pt inka buka lowongan pkl cek syaratnya,pt inka buka lowongan pkl cek syaratnya,pt inka buka lowong pkl cek syarat,"['pt', 'inka', 'buka', 'lowong', 'pkl', 'cek', 'syarat']"
236,"11 Ilmuwan BRIN Masuk Top 2% Peneliti Dunia Versi Stanford, Ini Daftarnya",,Pendidikan,ilmuwan brin masuk top peneliti dunia versi stanford daftarnya,ilmuwan brin masuk top peneliti dunia versi stanford daftarnya,ilmuwan brin masuk top peneliti dunia versi stanford daftarnya,ilmuwan brin masuk top teliti dunia versi stanford daftar,"['ilmuwan', 'brin', 'masuk', 'top', 'teliti', 'dunia', 'versi', 'stanford', 'daftar']"
237,"Awalnya Tugas Kuliah, Mahasiswa UI Menang Penghargaan Festival Film Horor Dunia",,Pendidikan,tugas kuliah mahasiswa ui menang penghargaan festival film horor dunia,tugas kuliah mahasiswa ui menang penghargaan festival film horor dunia,tugas kuliah mahasiswa ui menang penghargaan festival film horor dunia,tugas kuliah mahasiswa ui menang harga festival film horor dunia,"['tugas', 'kuliah', 'mahasiswa', 'ui', 'menang', 'harga', 'festival', 'film', 'horor', 'dunia']"
238,"Realisasi Anggaran Sekolah Rakyat Capai Rp788,7 Miliar",,Pendidikan,realisasi anggaran sekolah rakyat capai miliar,realisasi anggaran sekolah rakyat capai miliar,realisasi anggaran sekolah rakyat capai miliar,realisasi anggar sekolah rakyat capai miliar,"['realisasi', 'anggar', 'sekolah', 'rakyat', 'capai', 'miliar']"
239,"Musim Hujan 2025: Prediksi BMKG, Wilayah Rawan Banjir, dan Tips Antisipasi",,Pendidikan,musim hujan prediksi bmkg wilayah rawan banjir tips antisipasi,musim hujan prediksi bmkg wilayah rawan banjir tips antisipasi,musim hujan prediksi bmkg wilayah rawan banjir tips antisipasi,musim hujan prediksi bmkg wilayah rawan banjir tips antisipasi,"['musim', 'hujan', 'prediksi', 'bmkg', 'wilayah', 'rawan', 'banjir', 'tips', 'antisipasi']"
240,SNPMB 2026: Jadwal dan Syarat Terbaru Masuk PTN,,Pendidikan,snpmb jadwal syarat terbaru masuk ptn,snpmb jadwal syarat terbaru masuk ptn,snpmb jadwal syarat terbaru masuk ptn,snpmb jadwal syarat baru masuk ptn,"['snpmb', 'jadwal', 'syarat', 'baru', 'masuk', 'ptn']"
241,Dosen Unair Temukan Senyawa Berpotensi Antikanker dari Daun 'Apa-Apa',,Pendidikan,dosen unair temukan senyawa berpotensi antikanker daun,dosen unair temukan senyawa berpotensi antikanker daun,dosen unair temukan senyawa berpotensi antikanker daun,dosen unair temu senyawa potensi antikanker daun,"['dosen', 'unair', 'temu', 'senyawa', 'potensi', 'antikanker', 'daun']"
242,Respirasi Aerob: Pengertian dan Tahapan Prosesnya Secara Lengkap,,Pendidikan,respirasi aerob pengertian tahapan prosesnya lengkap,respirasi aerob pengertian tahapan prosesnya lengkap,respirasi aerob pengertian tahapan prosesnya lengkap,respirasi aerob erti tahap proses lengkap,"['respirasi', 'aerob', 'erti', 'tahap', 'proses', 'lengkap']"
243,Jangan Lewatkan Pelatihan Menyeluruh Jadi Instruktur Bersertifikasi BNSP RI!,,Pendidikan,lewatkan pelatihan instruktur bersertifikasi bnsp ri,lewatkan pelatihan instruktur bersertifikasi bnsp ri,lewatkan pelatihan instruktur bersertifikasi bnsp ri,lewat latih instruktur sertifikasi bnsp ri,"['lewat', 'latih', 'instruktur', 'sertifikasi', 'bnsp', 'ri']"
244,"Video: Ada Kotak Tua di Depan Pos Bloc Jakarta, Kira-kira Kotak Apa ya?",,Pendidikan,video kotak tua pos bloc jakarta kotak ya,video kotak tua pos bloc jakarta kotak ya,video kotak tua pos bloc jakarta kotak ya,video kotak tua pos bloc jakarta kotak ya,"['video', 'kotak', 'tua', 'pos', 'bloc', 'jakarta', 'kotak', 'ya']"
245,Video: Kemendiktisaintek Pastikan Setiap Politeknik Baru Bakal Diuji Akreditasinya,,Pendidikan,video kemendiktisaintek pastikan politeknik diuji akreditasinya,video kemendiktisaintek pastikan politeknik diuji akreditasinya,video kemendiktisaintek pastikan politeknik diuji akreditasinya,video kemendiktisaintek pasti politeknik uji akreditasi,"['video', 'kemendiktisaintek', 'pasti', 'politeknik', 'uji', 'akreditasi']"
246,"Mahasiswa UGM Teliti Komunitas Marah-Marah di X, Solusi Stres atau Ancaman Sosial?",,Pendidikan,mahasiswa ugm teliti komunitas x solusi stres ancaman sosial,mahasiswa ugm teliti komunitas x solusi stres ancaman sosial,mahasiswa ugm teliti komunitas x solusi stres ancaman sosial,mahasiswa ugm teliti komunitas x solusi stres ancam sosial,"['mahasiswa', 'ugm', 'teliti', 'komunitas', 'x', 'solusi', 'stres', 'ancam', 'sosial']"
247,"Perjalanan ke Ruang Angkasa Bikin Cepat Tua, Studi Bilang Begini",,Pendidikan,perjalanan ruang angkasa bikin cepat tua studi bilang,perjalanan ruang angkasa bikin cepat tua studi bilang,perjalanan ruang angkasa bikin cepat tua studi bilang,jalan ruang angkasa bikin cepat tua studi bilang,"['jalan', 'ruang', 'angkasa', 'bikin', 'cepat', 'tua', 'studi', 'bilang']"
248,"Daftar Negara yang Mengakui Palestina, Terbaru Inggris",,Pendidikan,daftar negara mengakui palestina terbaru inggris,daftar negara mengakui palestina terbaru inggris,daftar negara mengakui palestina terbaru inggris,daftar negara aku palestina baru inggris,"['daftar', 'negara', 'aku', 'palestina', 'baru', 'inggris']"
249,Apa Itu Awan Cumulonimbus yang Muncul di Langit Garut? Ini Penjelasannya,,Pendidikan,awan cumulonimbus muncul langit garut penjelasannya,awan cumulonimbus muncul langit garut penjelasannya,awan cumulonimbus muncul langit garut penjelasannya,awan cumulonimbus muncul langit garut jelas,"['awan', 'cumulonimbus', 'muncul', 'langit', 'garut', 'jelas']"
250,"Mahasiswa RI Raih Juara, Merah Putih Terbentang di Ajang Teknofest 2025 Turki",,Pendidikan,mahasiswa ri raih juara merah putih terbentang ajang teknofest turki,mahasiswa ri raih juara merah putih terbentang ajang teknofest turki,mahasiswa ri raih juara merah putih terbentang ajang teknofest turki,mahasiswa ri raih juara merah putih bentang ajang teknofest turki,"['mahasiswa', 'ri', 'raih', 'juara', 'merah', 'putih', 'bentang', 'ajang', 'teknofest', 'turki']"
251,Saatnya Tingkatkan Karier Sebagai Trainer Profesional Bersama Master Coach Berpengalaman!,,Pendidikan,tingkatkan karier trainer profesional master coach berpengalaman,tingkatkan karier trainer profesional master coach berpengalaman,tingkatkan karier trainer profesional master coach berpengalaman,tingkat karier trainer profesional master coach alam,"['tingkat', 'karier', 'trainer', 'profesional', 'master', 'coach', 'alam']"
252,"Ratusan Siswa Keracunan MBG di Bandung Barat, Benarkah Makanan Tak Layak Konsumsi?",,Pendidikan,ratusan siswa keracunan mbg bandung barat makanan layak konsumsi,ratusan siswa keracunan mbg bandung barat makanan layak konsumsi,ratusan siswa keracunan mbg bandung barat makanan layak konsumsi,ratus siswa racun mbg bandung barat makan layak konsumsi,"['ratus', 'siswa', 'racun', 'mbg', 'bandung', 'barat', 'makan', 'layak', 'konsumsi']"
253,"Besaran KIP Kuliah Dipangkas Separuh, DPR: Mahasiswa Terancam, PTS Makin Terbebani",,Pendidikan,besaran kip kuliah dipangkas separuh dpr mahasiswa terancam pts terbebani,besaran kip kuliah dipangkas separuh dpr mahasiswa terancam pts terbebani,besaran kip kuliah dipangkas separuh dpr mahasiswa terancam pts terbebani,besar kip kuliah pangkas paruh dpr mahasiswa ancam pts beban,"['besar', 'kip', 'kuliah', 'pangkas', 'paruh', 'dpr', 'mahasiswa', 'ancam', 'pts', 'beban']"
254,330 Ribu Sekolah Akan Dibekali Layar Digital Pintar Tahun Ini,,Pendidikan,ribu sekolah dibekali layar digital pintar,ribu sekolah dibekali layar digital pintar,ribu sekolah dibekali layar digital pintar,ribu sekolah bekal layar digital pintar,"['ribu', 'sekolah', 'bekal', 'layar', 'digital', 'pintar']"
255,Wamen Stella: Sekolah Garuda Berikan Akses dari Kalangan Manapun,,Pendidikan,wamen stella sekolah garuda akses kalangan manapun,wamen stella sekolah garuda akses kalangan manapun,wamen stella sekolah garuda akses kalangan manapun,wamen stella sekolah garuda akses kalang mana,"['wamen', 'stella', 'sekolah', 'garuda', 'akses', 'kalang', 'mana']"
256,"Anggaran 8 Agenda Prioritas di APBN 2026, Termasuk untuk MBG dan Kesejahteraan Guru",,Pendidikan,anggaran agenda prioritas apbn mbg kesejahteraan guru,anggaran agenda prioritas apbn mbg kesejahteraan guru,anggaran agenda prioritas apbn mbg kesejahteraan guru,anggar agenda prioritas apbn mbg sejahtera guru,"['anggar', 'agenda', 'prioritas', 'apbn', 'mbg', 'sejahtera', 'guru']"
257,Universitas Muhammadiyah Malang Jadi Tuan Rumah Olimpiade Sains Nasional,,Pendidikan,universitas muhammadiyah malang tuan rumah olimpiade sains nasional,universitas muhammadiyah malang tuan rumah olimpiade sains nasional,universitas muhammadiyah malang tuan rumah olimpiade sains nasional,universitas muhammadiyah malang tuan rumah olimpiade sains nasional,"['universitas', 'muhammadiyah', 'malang', 'tuan', 'rumah', 'olimpiade', 'sains', 'nasional']"
258,"Resmi! MBG Dapat Rp 335 T dari APBN 2026, Ambil Jatah Anggaran Pendidikan Rp 223 T",,Pendidikan,resmi mbg rp t apbn ambil jatah anggaran pendidikan rp t,resmi mbg rp t apbn ambil jatah anggaran pendidikan rp t,resmi mbg rp t apbn ambil jatah anggaran pendidikan rp t,resmi mbg rp t apbn ambil jatah anggar didik rp t,"['resmi', 'mbg', 'rp', 't', 'apbn', 'ambil', 'jatah', 'anggar', 'didik', 'rp', 't']"
259,"JPPI Minta MBG Dihentikan, Kasus Keracunan Wujud Kesalahan Sistem",,Pendidikan,jppi mbg dihentikan keracunan wujud kesalahan sistem,jppi mbg dihentikan keracunan wujud kesalahan sistem,jppi mbg dihentikan keracunan wujud kesalahan sistem,jppi mbg henti racun wujud salah sistem,"['jppi', 'mbg', 'henti', 'racun', 'wujud', 'salah', 'sistem']"
260,"Usulan buat RUU Sisdiknas, Bentuk PT Hanya Universitas dan Universitas Terapan",,Pendidikan,usulan ruu sisdiknas bentuk pt universitas universitas terapan,usulan ruu sisdiknas bentuk pt universitas universitas terapan,usulan ruu sisdiknas bentuk pt universitas universitas terapan,usul ruu sisdiknas bentuk pt universitas universitas terap,"['usul', 'ruu', 'sisdiknas', 'bentuk', 'pt', 'universitas', 'universitas', 'terap']"
261,Lembaga Kajian Islam dan Sosial Minta RUU Sisdiknas Layani Penghayat Lebih Setara,,Pendidikan,lembaga kajian islam sosial ruu sisdiknas layani penghayat setara,lembaga kajian islam sosial ruu sisdiknas layani penghayat setara,lembaga kajian islam sosial ruu sisdiknas layani penghayat setara,lembaga kaji islam sosial ruu sisdiknas layan hayat tara,"['lembaga', 'kaji', 'islam', 'sosial', 'ruu', 'sisdiknas', 'layan', 'hayat', 'tara']"
262,"Kompetisi Robotik Madrasah 2025 Dibuka, Ini Ketentuan Pendaftarannya",,Pendidikan,kompetisi robotik madrasah dibuka ketentuan pendaftarannya,kompetisi robotik madrasah dibuka ketentuan pendaftarannya,kompetisi robotik madrasah dibuka ketentuan pendaftarannya,kompetisi robotik madrasah buka tentu daftar,"['kompetisi', 'robotik', 'madrasah', 'buka', 'tentu', 'daftar']"
263,"Tok! UU APBN 2026 Disahkan, Anggaran Pendidikan Rp 769,1 T",,Pendidikan,tok uu apbn disahkan anggaran pendidikan rp t,tok uu apbn disahkan anggaran pendidikan rp t,tok uu apbn disahkan anggaran pendidikan rp t,tok uu apbn sah anggar didik rp t,"['tok', 'uu', 'apbn', 'sah', 'anggar', 'didik', 'rp', 't']"
264,Kemdiktisaintek Pastikan Tukin Dosen ASN Juli-Agustus 2025 Cair,,Pendidikan,kemdiktisaintek pastikan tukin dosen asn cair,kemdiktisaintek pastikan tukin dosen asn cair,kemdiktisaintek pastikan tukin dosen asn cair,kemdiktisaintek pasti tukin dosen asn cair,"['kemdiktisaintek', 'pasti', 'tukin', 'dosen', 'asn', 'cair']"
265,"Aturan Pidato di Sidang Umum PBB, Alasan di Balik Matinya Mikrofon Prabowo",,Pendidikan,aturan pidato sidang pbb alasan matinya mikrofon prabowo,aturan pidato sidang pbb alasan matinya mikrofon prabowo,aturan pidato sidang pbb alasan matinya mikrofon prabowo,atur pidato sidang pbb alas mati mikrofon prabowo,"['atur', 'pidato', 'sidang', 'pbb', 'alas', 'mati', 'mikrofon', 'prabowo']"
266,"Sebut Alat Bukti Tak Cukup, Kuasa Hukum Nadiem Ajukan Praperadilan",,Pendidikan,alat bukti kuasa hukum nadiem ajukan praperadilan,alat bukti kuasa hukum nadiem ajukan praperadilan,alat bukti kuasa hukum nadiem ajukan praperadilan,alat bukti kuasa hukum nadiem aju praperadilan,"['alat', 'bukti', 'kuasa', 'hukum', 'nadiem', 'aju', 'praperadilan']"
267,Wamen Stella Sebut Penerimaan Sekolah Garuda Hanya Berdasarkan 3 Hal Ini,,Pendidikan,wamen stella penerimaan sekolah garuda berdasarkan,wamen stella penerimaan sekolah garuda berdasarkan,wamen stella penerimaan sekolah garuda berdasarkan,wamen stella terima sekolah garuda dasar,"['wamen', 'stella', 'terima', 'sekolah', 'garuda', 'dasar']"
268,8 Ilmuwan UNDIP Masuk Daftar 2% Teratas Dunia Tahun 2025,,Pendidikan,ilmuwan undip masuk daftar teratas dunia,ilmuwan undip masuk daftar teratas dunia,ilmuwan undip masuk daftar teratas dunia,ilmuwan undip masuk daftar atas dunia,"['ilmuwan', 'undip', 'masuk', 'daftar', 'atas', 'dunia']"
269,"Deklarasi Balfour, Bagian Sejarah yang Diungkit Usai Inggris Akui Palestina",,Pendidikan,deklarasi balfour sejarah diungkit inggris akui palestina,deklarasi balfour sejarah diungkit inggris akui palestina,deklarasi balfour sejarah diungkit inggris akui palestina,deklarasi balfour sejarah ungkit inggris aku palestina,"['deklarasi', 'balfour', 'sejarah', 'ungkit', 'inggris', 'aku', 'palestina']"
270,"Pendaftaran KJMU 2025 Tahap 2 Diperpanjang, Buruan Daftar!",,Pendidikan,pendaftaran kjmu tahap diperpanjang buruan daftar,pendaftaran kjmu tahap diperpanjang buruan daftar,pendaftaran kjmu tahap diperpanjang buruan daftar,daftar kjmu tahap panjang buru daftar,"['daftar', 'kjmu', 'tahap', 'panjang', 'buru', 'daftar']"
271,Isi Pidato Prabowo di PBB Lengkap dengan Poin-poin tentang Palestina,,Pendidikan,isi pidato prabowo pbb lengkap palestina,isi pidato prabowo pbb lengkap palestina,isi pidato prabowo pbb lengkap palestina,isi pidato prabowo pbb lengkap palestina,"['isi', 'pidato', 'prabowo', 'pbb', 'lengkap', 'palestina']"
272,"Arkeolog Temukan Harta Karun Kuno, Ungkap Kemewahan Rumah Elite Romawi",,Pendidikan,arkeolog temukan harta karun kuno kemewahan rumah elite romawi,arkeolog temukan harta karun kuno kemewahan rumah elite romawi,arkeolog temukan harta karun kuno kemewahan rumah elite romawi,arkeolog temu harta karun kuno mewah rumah elite romawi,"['arkeolog', 'temu', 'harta', 'karun', 'kuno', 'mewah', 'rumah', 'elite', 'romawi']"
273,"5 Ilmuwan PTKIN Masuk Top 2% Dunia dari Stanford-Elsevier 2025, Cek Daftarnya!",,Pendidikan,ilmuwan ptkin masuk top dunia cek daftarnya,ilmuwan ptkin masuk top dunia cek daftarnya,ilmuwan ptkin masuk top dunia cek daftarnya,ilmuwan ptkin masuk top dunia cek daftar,"['ilmuwan', 'ptkin', 'masuk', 'top', 'dunia', 'cek', 'daftar']"
