id,Judul Berita,Isi Berita,Kategori Berita,Judul_Bersih,Judul_Final,Judul_Baku,Judul_Stemmed,Judul_Tokenized
455,Video Tangis Marquez Juara Dunia Usai 100 Crash dan 4 Kali Operasi,,Olahraga,video tangis marquez juara dunia crash kali operasi,video tangis marquez juara dunia crash kali operasi,video tangis marquez juara dunia crash kali operasi,video tangis marquez juara dunia crash kali operasi,"['video', 'tangis', 'marquez', 'juara', 'dunia', 'crash', 'kali', 'operasi']"
456,Marquez Sempat Takut Lihat Motor Bagnaia Berasap,,Olahraga,marquez takut lihat motor bagnaia berasap,marquez takut lihat motor bagnaia berasap,marquez takut lihat motor bagnaia berasap,marquez takut lihat motor bagnaia asap,"['marquez', 'takut', 'lihat', 'motor', 'bagnaia', 'asap']"
457,3 Kategori Lari yang Cocok untuk Pemula hingga Pro,,Olahraga,kategori lari cocok pemula pro,kategori lari cocok pemula pro,kategori lari cocok pemula pro,kategori lari cocok mula pro,"['kategori', 'lari', 'cocok', 'mula', 'pro']"
458,Jumlah Gelar Juara Dunia MotoGP: Marc Marquez Samai Rossi,,Olahraga,gelar juara dunia motogp marc marquez samai rossi,gelar juara dunia motogp marc marquez samai rossi,gelar juara dunia motogp marc marquez samai rossi,gelar juara dunia motogp marc marquez sama rossi,"['gelar', 'juara', 'dunia', 'motogp', 'marc', 'marquez', 'sama', 'rossi']"
459,Video: Momen Bagnaia Membalap dengan Motor Berasap,,Olahraga,video momen bagnaia membalap motor berasap,video momen bagnaia membalap motor berasap,video momen bagnaia membalap motor berasap,video momen bagnaia balap motor asap,"['video', 'momen', 'bagnaia', 'balap', 'motor', 'asap']"
460,Video Marc Marquez: Didera Cedera hingga Juara Dunia,,Olahraga,video marc marquez didera cedera juara dunia,video marc marquez didera cedera juara dunia,video marc marquez didera cedera juara dunia,video marc marquez dera cedera juara dunia,"['video', 'marc', 'marquez', 'dera', 'cedera', 'juara', 'dunia']"
461,"Video: Marquez Kini Sejajar Rossi, Cuma Kalah dari Giacomo Agostini",,Olahraga,video marquez sejajar rossi kalah giacomo agostini,video marquez sejajar rossi kalah giacomo agostini,video marquez sejajar rossi kalah giacomo agostini,video marquez sejajar rossi kalah giacomo agostini,"['video', 'marquez', 'sejajar', 'rossi', 'kalah', 'giacomo', 'agostini']"
462,"Marc Marquez Kini Tahu Rasanya Sukses dengan 'Berdarah-darah""",,Olahraga,marc marquez sukses,marc marquez sukses,marc marquez sukses,marc marquez sukses,"['marc', 'marquez', 'sukses']"
463,"Fun Run Kian Ramai, Demi Gaya Hidup Sehat",,Olahraga,fun run kian ramai gaya hidup sehat,fun run kian ramai gaya hidup sehat,fun run kian ramai gaya hidup sehat,fun run kian ramai gaya hidup sehat,"['fun', 'run', 'kian', 'ramai', 'gaya', 'hidup', 'sehat']"
464,IDH Urban Seri 2 Janjikan Keseruan Lintasan Highspeed,,Olahraga,idh urban seri janjikan keseruan lintasan highspeed,idh urban seri janjikan keseruan lintasan highspeed,idh urban seri janjikan keseruan lintasan highspeed,idh urban seri janji seru lintas highspeed,"['idh', 'urban', 'seri', 'janji', 'seru', 'lintas', 'highspeed']"
465,"Presiden Gimnastik Internasional Berduka, Sambangi Keluarga Naufal",,Olahraga,presiden gimnastik internasional berduka sambangi keluarga naufal,presiden gimnastik internasional berduka sambangi keluarga naufal,presiden gimnastik internasional berduka sambangi keluarga naufal,presiden gimnastik internasional duka sambang keluarga naufal,"['presiden', 'gimnastik', 'internasional', 'duka', 'sambang', 'keluarga', 'naufal']"
